C,SETP.WORLD,DVD_NETWORK_OUTAGESTATUSCODE,AEMO,PUBLIC,2025/04/08,14:08:39,001744085319984,MONTHLY_ARCHIVE,001744085319984
I,NETWORK,OUTAGESTATUSCODE,1,OUTAGESTATUSCODE,DESCRIPTION,LASTCHANGED
D,NETWORK,OUTAGESTATUSCODE,1,COMPLETE,Completed,"2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,INFO,Information,"2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,MTLTP,"Medium term timeframe likely to proceed","2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,PDLTP,"Predispatch timeframe likely to proceed","2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,PTP,"Permission to Proceed","2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,PTR,"Permission to Restore","2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,RESUBMIT,Resubmitted,"2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,STLTP,"Short term timeframe likely to proceed","2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,SUBMIT,Submitted,"2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,UTP,"Unlikely to proceed","2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,"WD REQ","Withdraw Request","2012/04/01 00:00:00"
D,NETWORK,OUTAGESTATUSCODE,1,WDRAWN,Withdrawn,"2012/04/01 00:00:00"
C,"END OF REPORT",15
