Date,MinTemp,MaxTemp,Rainfall
2018-01-01,16.0,24.3,0.0
2018-01-02,13.8,23.0,0.0
2018-01-03,13.2,23.6,0.0
2018-01-04,12.6,30.3,0.0
2018-01-05,15.0,37.7,0.0
2018-01-06,24.6,42.3,0.0
2018-01-07,17.2,32.3,0.0
2018-01-08,16.9,26.0,0.0
2018-01-09,13.9,26.7,0.0
2018-01-10,13.6,28.7,0.0
2018-01-11,18.5,36.0,0.0
2018-01-12,23.4,23.8,2.0
2018-01-13,17.3,22.8,0.6
2018-01-14,13.7,26.0,0.2
2018-01-15,14.2,30.1,0.0
2018-01-16,17.3,32.2,0.0
2018-01-17,18.0,38.7,0.0
2018-01-18,25.4,41.9,0.0
2018-01-19,22.1,42.2,0.0
2018-01-20,23.7,38.5,0.0
2018-01-21,22.8,36.0,0.0
2018-01-22,21.3,31.0,1.2
2018-01-23,13.5,30.9,0.0
2018-01-24,13.8,33.0,0.0
2018-01-25,15.8,34.7,0.0
2018-01-26,19.6,33.2,0.0
2018-01-27,20.6,37.3,0.4
2018-01-28,25.0,41.8,0.0
2018-01-29,23.6,27.6,0.6
2018-01-30,16.5,22.8,1.8
2018-01-31,14.3,22.6,0.0
2018-02-01,13.6,25.2,0.0
2018-02-02,15.9,30.3,0.0
2018-02-03,19.1,33.5,0.0
2018-02-04,19.8,34.4,0.0
2018-02-05,21.8,35.8,0.0
2018-02-06,19.2,33.9,0.0
2018-02-07,20.7,39.7,0.0
2018-02-08,22.8,39.5,0.0
2018-02-09,28.7,39.4,0.0
2018-02-10,25.0,31.1,0.0
2018-02-11,14.7,24.1,0.0
2018-02-12,13.2,23.8,0.0
2018-02-13,13.5,28.9,0.0
2018-02-14,18.6,23.6,0.0
2018-02-15,11.9,22.8,0.0
2018-02-16,14.4,24.9,0.0
2018-02-17,13.5,26.2,0.0
2018-02-18,16.6,26.7,0.0
2018-02-19,17.9,29.2,0.8
2018-02-20,18.9,33.6,0.0
2018-02-21,23.5,31.5,0.0
2018-02-22,23.1,32.4,0.0
2018-02-23,24.2,34.4,0.2
2018-02-24,19.8,24.6,2.0
2018-02-25,15.7,23.7,0.0
2018-02-26,10.9,24.5,0.0
2018-02-27,16.1,35.6,0.0
2018-02-28,18.5,23.9,0.0
2018-03-01,16.5,29.4,0.0
2018-03-02,18.2,32.4,0.0
2018-03-03,15.3,25.9,0.0
2018-03-04,15.2,24.3,0.0
2018-03-05,12.6,24.0,0.0
2018-03-06,12.4,26.2,0.0
2018-03-07,16.7,34.5,0.0
2018-03-08,22.1,34.2,0.0
2018-03-09,24.1,35.5,0.0
2018-03-10,22.3,35.4,0.0
2018-03-11,17.7,32.3,0.0
2018-03-12,14.2,25.3,0.0
2018-03-13,14.2,24.75,0.0
2018-03-14,12.95,24.2,0.0
2018-03-15,11.7,24.7,0.0
2018-03-16,13.6,27.4,0.0
2018-03-17,18.2,30.1,1.6
2018-03-18,16.2,21.2,1.0
2018-03-19,15.95,23.2,0.0
2018-03-20,15.7,22.6,0.0
2018-03-21,11.4,22.4,0.0
2018-03-22,13.1,29.0,0.0
2018-03-23,19.0,33.4,0.0
2018-03-24,20.8,34.0,0.0
2018-03-25,16.9,22.1,0.2
2018-03-26,11.7,20.2,1.6
2018-03-27,12.4,27.5,0.0
2018-03-28,16.6,22.6,0.0
2018-03-29,12.5,22.7,0.0
2018-03-30,16.3,22.5,0.0
2018-03-31,11.5,25.7,0.0
2018-04-01,11.175,27.3,0.0
2018-04-02,10.85,21.6,0.0
2018-04-03,10.524999999999999,22.2,0.0
2018-04-04,10.2,24.7,0.0
2018-04-05,10.4,23.9,0.0
2018-04-06,10.6,25.8,0.0
2018-04-07,12.0,31.2,0.0
2018-04-08,17.9,34.0,0.0
2018-04-09,20.2,36.3,0.0
2018-04-10,24.0,35.4,0.0
2018-04-11,17.5,36.3,0.0
2018-04-12,17.4,23.7,0.0
2018-04-13,13.9,23.4,0.0
2018-04-14,14.1,19.3,5.4
2018-04-15,14.1,20.1,2.2
2018-04-16,16.5,19.2,2.4
2018-04-17,11.9,21.1,0.6
2018-04-18,14.4,26.8,0.0
2018-04-19,17.8,30.5,0.0
2018-04-20,21.2,31.5,0.0
2018-04-21,18.1,30.6,1.2
2018-04-22,13.9,31.9,0.0
2018-04-23,20.6,31.2,0.0
2018-04-24,19.5,21.9,0.6
2018-04-25,12.9,22.6,2.0
2018-04-26,11.4,21.3,0.0
2018-04-27,10.4,23.0,0.0
2018-04-28,10.0,22.3,0.0
2018-04-29,10.1,23.3,0.0
2018-04-30,8.9,22.4,0.0
2018-05-01,14.2,23.5,0.0
2018-05-02,15.2,26.6,0.0
2018-05-03,15.9,17.4,4.8
2018-05-04,11.2,18.4,15.8
2018-05-05,11.2,20.3,0.0
2018-05-06,9.8,21.8,0.0
2018-05-07,14.3,20.5,0.0
2018-05-08,9.9,19.2,0.6
2018-05-09,8.7,18.5,0.0
2018-05-10,10.4,15.4,4.4
2018-05-11,9.3,16.55,2.8
2018-05-12,10.0,17.7,0.0
2018-05-13,11.0,18.9,0.0
2018-05-14,5.9,16.1,0.0
2018-05-15,10.8,17.7,0.0
2018-05-16,4.8,17.1,0.4
2018-05-17,10.5,15.2,0.0
2018-05-18,12.9,17.8,6.8
2018-05-19,12.2,17.6,22.8
2018-05-20,10.4,16.0,0.0
2018-05-21,12.2,16.4,0.0
2018-05-22,14.0,16.8,0.0
2018-05-23,12.6,16.6,0.2
2018-05-24,12.7,16.0,0.0
2018-05-25,8.5,20.1,0.0
