Date,MinTemp,MaxTemp,Rainfall
2018-01-01,24.2,32.1,0.4
2018-01-02,23.4,30.8,0.0
2018-01-03,21.7,31.2,4.8
2018-01-04,21.0,29.5,0.0
2018-01-05,22.2,29.5,0.0
2018-01-06,20.7,31.1,0.0
2018-01-07,21.233333333333334,31.5,0.0
2018-01-08,21.766666666666666,32.4,0.0
2018-01-09,22.3,32.1,0.0
2018-01-10,22.0,32.3,0.0
2018-01-11,23.7,31.4,0.0
2018-01-12,23.85,32.6,0.0
2018-01-13,24.0,35.6,0.0
2018-01-14,24.2,37.5,0.2
2018-01-15,17.4,30.3,0.0
2018-01-16,17.7,31.1,0.0
2018-01-17,18.3,29.4,0.0
2018-01-18,19.5,30.0,0.0
2018-01-19,17.4,31.4,0.0
2018-01-20,19.1,32.2,0.0
2018-01-21,21.1,30.2,0.0
2018-01-22,20.8,31.7,0.0
2018-01-23,20.3,32.3,0.0
2018-01-24,22.4,31.6,0.0
2018-01-25,23.6,32.05,8.6
2018-01-26,23.2,32.5,4.3
2018-01-27,24.3,32.8,0.0
2018-01-28,23.6,30.2,2.4
2018-01-29,21.8,31.5,7.8
2018-01-30,22.5,32.7,1.6
2018-01-31,22.3,34.7,0.0
2018-02-01,21.3,25.5,4.2
2018-02-02,18.5,21.7,11.2
2018-02-03,18.8,22.8,6.2
2018-02-04,17.8,28.0,7.2
2018-02-05,18.4,30.1,1.0
2018-02-06,18.9,29.700000000000003,0.6666666666666667
2018-02-07,18.5,29.3,0.33333333333333337
2018-02-08,18.6,29.0,0.0
2018-02-09,18.3,31.2,0.0
2018-02-10,19.4,32.8,0.0
2018-02-11,22.7,34.5,1.0
2018-02-12,20.9,33.5,6.6
2018-02-13,26.3,33.0,0.0
2018-02-14,21.8,33.0,13.0
2018-02-15,24.6,35.7,0.0
2018-02-16,26.6,33.0,0.0
2018-02-17,22.5,31.5,17.0
2018-02-18,22.4,32.25,0.0
2018-02-19,20.4,33.0,0.05
2018-02-20,23.3,30.9,0.1
2018-02-21,22.0,27.6,0.15000000000000002
2018-02-22,20.7,26.7,0.2
2018-02-23,22.2,26.4,62.8
2018-02-24,22.1,29.1,135.8
2018-02-25,23.1,28.900000000000002,19.0
2018-02-26,23.1,28.7,12.733333333333334
2018-02-27,21.7,28.5,6.466666666666667
2018-02-28,19.9,29.5,0.2
2018-03-01,20.9,29.3,0.4
2018-03-02,24.6,29.1,0.6000000000000001
2018-03-03,24.0,30.6,0.8
2018-03-04,24.3,34.7,0.2
