Date,MinTemp,MaxTemp,Rainfall
2018-01-01,15.0,22.9,0.0
2018-01-02,13.3,23.6,0.0
2018-01-03,10.3,21.9,0.0
2018-01-04,15.6,26.5,0.0
2018-01-05,13.8,22.3,0.0
2018-01-06,15.7,35.8,0.0
2018-01-07,13.1,22.6,0.2
2018-01-08,14.8,26.6,0.0
2018-01-09,14.2,19.4,0.0
2018-01-10,11.8,21.0,0.2
2018-01-11,13.7,28.3,0.0
2018-01-12,19.1,29.1,0.0
2018-01-13,13.5,15.8,5.6
2018-01-14,9.0,19.1,10.6
2018-01-15,14.3,20.0,0.2
2018-01-16,9.7,20.2,0.0
2018-01-17,10.2,20.6,0.0
2018-01-18,12.1,31.2,0.0
2018-01-19,18.0,29.5,0.0
2018-01-20,13.6,20.8,0.0
2018-01-21,16.0,22.5,0.0
2018-01-22,15.8,24.6,0.0
2018-01-23,13.3,27.2,0.0
2018-01-24,13.4,28.1,0.0
2018-01-25,15.1,26.9,0.0
2018-01-26,17.3,21.8,0.0
2018-01-27,14.8,28.1,0.0
2018-01-28,20.9,36.7,0.0
2018-01-29,23.9,26.1,0.0
2018-01-30,12.4,20.6,4.8
2018-01-31,8.4,16.1,0.6
2018-02-01,8.6,21.6,1.6
2018-02-02,13.9,20.3,0.0
2018-02-03,11.5,21.2,0.0
2018-02-04,14.6,19.2,0.0
2018-02-05,11.5,20.4,0.0
2018-02-06,11.6,24.5,0.0
2018-02-07,15.6,26.6,0.0
2018-02-08,18.4,22.0,0.6
2018-02-09,16.5,23.1,1.6
2018-02-10,17.2,30.5,0.0
2018-02-11,13.4,20.3,2.8
2018-02-12,9.0,23.0,0.0
2018-02-13,12.9,20.9,0.2
2018-02-14,14.7,18.8,0.0
2018-02-15,9.9,21.2,14.4
2018-02-16,11.2,17.8,0.0
2018-02-17,13.3,23.6,0.0
2018-02-18,14.5,18.5,0.0
2018-02-19,11.2,15.5,0.2
2018-02-20,12.1,18.1,0.0
2018-02-21,10.9,23.1,0.0
2018-02-22,10.6,22.2,0.0
2018-02-23,13.8,22.4,0.0
2018-02-24,16.7,22.7,4.8
2018-02-25,11.0,16.7,9.0
2018-02-26,9.2,22.7,0.0
2018-02-27,10.4,26.3,0.0
2018-02-28,13.8,25.5,0.0
2018-03-01,14.0,20.2,9.4
2018-03-02,13.3,23.1,0.2
2018-03-03,13.2,26.8,0.0
2018-03-04,12.1,21.3,1.6
2018-03-05,11.2,19.5,0.0
2018-03-06,8.8,20.5,0.0
2018-03-07,10.9,21.0,0.0
2018-03-08,15.5,20.7,0.0
2018-03-09,13.0,24.4,0.0
2018-03-10,15.6,28.2,0.0
2018-03-11,18.2,25.0,0.0
2018-03-12,13.2,21.8,0.0
2018-03-13,13.3,23.7,0.0
2018-03-14,11.9,21.4,0.0
2018-03-15,14.3,19.4,0.0
2018-03-16,10.5,20.2,0.0
2018-03-17,13.1,30.1,0.0
2018-03-18,17.1,19.3,6.6
2018-03-19,13.7,21.1,3.8
2018-03-20,8.6,16.4,0.6
2018-03-21,7.1,16.2,1.2
2018-03-22,8.5,16.8,0.0
2018-03-23,12.9,23.4,0.0
2018-03-24,14.7,19.5,0.2
2018-03-25,11.8,20.6,3.2
2018-03-26,9.8,15.9,8.4
2018-03-27,9.9,18.8,1.2
2018-03-28,12.2,24.9,0.8
2018-03-29,13.1,22.2,0.0
2018-03-30,14.3,19.5,1.2
2018-03-31,10.1,21.1,0.2
2018-04-01,12.9,22.4,1.2999999999999998
2018-04-02,11.9,20.1,2.4
2018-04-03,14.1,23.3,0.0
2018-04-04,11.8,24.6,0.0
2018-04-05,10.7,23.3,0.0
2018-04-06,10.4,16.1,7.8
2018-04-07,9.6,19.2,0.0
2018-04-08,12.0,20.6,0.2
2018-04-09,11.7,15.8,2.0
2018-04-10,11.7,22.4,0.2
2018-04-11,13.9,14.3,0.0
2018-04-12,10.6,15.5,1.2
2018-04-13,10.9,20.0,6.4
2018-04-14,11.8,17.3,0.6
2018-04-15,5.4,17.2,5.4
2018-04-16,6.9,13.5,0.2
2018-04-17,6.5,15.9,2.6
2018-04-18,5.1,16.5,0.0
2018-04-19,7.2,16.95,0.0
2018-04-20,6.6,17.4,0.0
2018-04-21,9.6,19.5,0.0
2018-04-22,10.3,20.15,0.0
2018-04-23,10.2,20.8,0.0
2018-04-24,10.1,22.1,0.0
2018-04-25,11.4,21.6,0.0
2018-04-26,11.1,16.9,0.0
2018-04-27,10.1,16.8,0.4
2018-04-28,6.2,17.9,0.0
2018-04-29,8.3,17.9,0.6
2018-04-30,10.5,17.0,0.0
2018-05-01,12.8,23.1,0.0
2018-05-02,10.5,17.2,0.0
2018-05-03,11.3,21.7,0.0
2018-05-04,13.3,18.0,0.0
