Date,MinTemp,MaxTemp,Rainfall
2018-01-01,16.6,25.3,0.0
2018-01-02,16.4,21.8,0.0
2018-01-03,14.6,21.0,0.0
2018-01-04,14.1,23.6,0.2
2018-01-05,14.7,30.7,0.0
2018-01-06,18.8,41.7,0.0
2018-01-07,18.7,21.8,0.0
2018-01-08,17.3,21.9,0.0
2018-01-09,15.7,22.5,0.0
2018-01-10,13.6,25.6,0.0
2018-01-11,15.5,34.5,0.0
2018-01-12,20.4,30.0,1.0
2018-01-13,16.0,20.9,7.0
2018-01-14,12.7,19.5,15.0
2018-01-15,14.6,20.9,0.0
2018-01-16,12.9,26.9,0.0
2018-01-17,12.4,30.3,0.0
2018-01-18,16.6,40.0,0.0
2018-01-19,22.5,40.3,0.0
2018-01-20,20.3,24.6,0.0
2018-01-21,21.0,28.2,0.0
2018-01-22,20.5,23.9,0.0
2018-01-23,18.0,23.6,0.0
2018-01-24,14.8,23.3,0.0
2018-01-25,17.1,26.6,0.0
2018-01-26,19.4,28.4,0.0
2018-01-27,21.2,33.2,3.4
2018-01-28,22.7,38.1,0.0
2018-01-29,27.8,33.5,0.0
2018-01-30,15.6,21.0,38.8
2018-01-31,14.6,19.1,0.0
2018-02-01,12.1,22.5,0.2
2018-02-02,13.4,22.1,0.0
2018-02-03,15.8,28.1,0.0
2018-02-04,14.7,25.7,0.0
2018-02-05,17.0,25.7,0.0
2018-02-06,17.7,29.9,0.0
2018-02-07,18.7,37.4,0.0
2018-02-08,20.6,27.5,0.0
2018-02-09,20.4,24.9,0.0
2018-02-10,18.7,30.3,0.0
2018-02-11,15.5,21.2,0.0
2018-02-12,16.3,23.6,0.0
2018-02-13,13.6,29.0,0.0
2018-02-14,17.5,23.3,0.0
2018-02-15,13.5,24.2,0.0
2018-02-16,15.7,22.2,0.0
2018-02-17,12.4,25.3,0.0
2018-02-18,13.6,24.0,0.0
2018-02-19,17.6,25.4,0.8
2018-02-20,14.1,29.5,0.0
2018-02-21,16.0,29.3,0.0
2018-02-22,20.3,31.0,0.0
2018-02-23,21.2,33.5,0.2
2018-02-24,22.7,31.6,0.4
2018-02-25,16.2,19.8,0.0
2018-02-26,14.3,26.5,0.0
2018-02-27,14.9,31.3,0.0
2018-02-28,20.0,30.9,0.0
2018-03-01,16.2,20.5,0.8
2018-03-02,14.5,22.8,0.4
2018-03-03,13.9,32.7,0.0
2018-03-04,15.8,21.0,0.0
2018-03-05,14.9,21.1,0.0
2018-03-06,12.5,27.6,0.0
2018-03-07,14.4,28.5,0.0
2018-03-08,14.9,30.5,0.0
2018-03-09,14.6,28.8,0.0
2018-03-10,14.3,35.1,0.0
2018-03-11,17.0,22.8,0.0
2018-03-12,16.7,20.9,0.0
2018-03-13,14.6,20.5,2.2
2018-03-14,12.8,21.3,0.0
2018-03-15,15.3,20.8,0.0
2018-03-16,12.5,24.4,0.0
2018-03-17,15.4,32.0,0.0
2018-03-18,22.6,23.1,0.0
2018-03-19,13.2,28.0,0.0
2018-03-20,15.4,19.2,0.2
2018-03-21,11.2,25.1,0.0
2018-03-22,12.3,28.1,0.0
2018-03-23,15.2,29.4,0.0
2018-03-24,20.2,24.2,0.0
2018-03-25,17.8,25.4,13.0
2018-03-26,10.7,18.5,5.2
2018-03-27,9.6,22.6,1.2
2018-03-28,11.3,30.3,0.0
2018-03-29,16.5,21.8,0.0
2018-03-30,12.2,23.3,0.0
2018-03-31,13.2,22.4,0.0
2018-04-01,13.0,27.7,0.0
2018-04-02,14.9,20.9,0.0
2018-04-03,13.4,19.8,0.0
2018-04-04,13.3,20.6,0.0
2018-04-05,13.3,18.7,0.0
2018-04-06,13.8,21.2,0.0
2018-04-07,9.8,21.6,0.0
2018-04-08,11.8,29.9,0.0
2018-04-09,15.9,25.7,0.0
2018-04-10,14.8,28.8,0.0
2018-04-11,18.1,27.3,0.0
2018-04-12,15.9,26.5,0.0
2018-04-13,11.9,25.9,0.0
2018-04-14,13.5,16.1,0.0
2018-04-15,9.7,19.1,12.2
2018-04-16,13.1,21.0,3.0
2018-04-17,13.2,16.6,0.6
2018-04-18,6.2,19.4,0.0
2018-04-19,11.0,22.3,0.0
2018-04-20,8.9,20.2,0.0
2018-04-21,11.9,22.8,0.0
2018-04-22,11.2,20.4,0.0
2018-04-23,11.9,26.9,0.0
2018-04-24,13.7,24.6,0.0
2018-04-25,15.7,20.1,0.6
2018-04-26,11.9,17.5,0.0
2018-04-27,11.6,17.8,0.0
2018-04-28,7.7,18.3,0.0
2018-04-29,10.5,18.0,0.0
2018-04-30,8.8,19.6,0.0
2018-05-01,7.2,23.4,0.0
2018-05-02,10.2,23.2,0.0
2018-05-03,14.5,24.4,0.0
2018-05-04,11.5,17.2,6.2
2018-05-05,12.1,21.6,2.6
2018-05-06,9.9,21.7,0.0
2018-05-07,12.0,19.5,0.0
2018-05-08,13.4,17.9,0.2
2018-05-09,8.0,18.4,0.0
2018-05-10,9.0,12.8,8.0
2018-05-11,7.4,15.1,18.6
2018-05-12,11.0,16.9,8.4
2018-05-13,13.0,16.2,4.0
2018-05-14,6.8,15.9,0.0
2018-05-15,8.9,14.6,0.0
2018-05-16,9.4,14.3,2.0
2018-05-17,11.7,15.0,0.0
2018-05-18,12.3,17.7,0.2
2018-05-19,10.6,15.5,2.6
2018-05-20,11.8,16.2,0.0
2018-05-21,12.6,16.7,2.4
2018-05-22,13.0,17.0,0.0
2018-05-23,11.8,15.3,4.6
2018-05-24,12.9,16.1,0.0
2018-05-25,9.4,14.9,0.0
2018-05-26,5.2,20.5,0.0
2018-05-27,7.3,20.7,0.0
2018-05-28,12.9,20.5,0.0
2018-05-29,13.7,17.9,0.8
2018-05-30,7.7,15.1,0.0
2018-05-31,9.6,14.8,5.0
2018-06-01,4.1,13.3,0.0
2018-06-02,3.5,13.6,0.2
2018-06-03,4.3,13.8,0.0
2018-06-04,4.5,14.4,0.0
2018-06-05,7.5,15.0,1.6
2018-06-06,5.6,19.1,0.4
2018-06-07,7.7,17.8,0.2
2018-06-08,12.4,13.6,0.6
2018-06-09,11.3,15.6,3.0
2018-06-10,4.1,15.3,0.0
2018-06-11,5.3,17.6,0.2
2018-06-12,7.9,16.6,0.4
2018-06-13,9.5,14.1,0.0
2018-06-14,8.6,14.5,5.6
2018-06-15,9.6,14.0,4.6
2018-06-16,6.9,13.1,2.2
2018-06-17,8.0,13.1,15.6
2018-06-18,9.5,12.0,7.2
2018-06-19,3.0,14.5,0.4
2018-06-20,4.3,15.3,0.2
2018-06-21,4.0,15.1,0.0
2018-06-22,4.3,15.0,0.0
2018-06-23,6.0,12.8,0.0
2018-06-24,9.0,13.1,0.0
2018-06-25,8.4,12.6,0.0
2018-06-26,8.4,14.1,0.0
2018-06-27,4.8,11.2,0.2
2018-06-28,5.3,10.6,0.0
2018-06-29,6.1,12.5,0.2
2018-06-30,9.4,14.2,0.4
2018-07-01,3.5,14.7,0.4
2018-07-02,2.4,14.6,0.0
