SUBSTATIONID,Matched_Station_Name,State,RegionID,MatchScore
PANORAMA,Panorama,New South Wales,NSW1,100
MT_PIPER,Mount Piper,New South Wales,NSW1,82
BERYL,Beryl,New South Wales,NSW1,100
MAGILL,Magill,South Australia,SA1,100
SYTS,St Marys,Tasmania,TAS1,55
SMTS,Smithton,Tasmania,TAS1,68
ROTS,Ross,Queensland,QLD1,75
T152_G_S,Tamworth 132,New South Wales,NSW1,45
T22_CALL,Stawell,Victoria,VIC1,57
T19_GSTH,Coburg South,Victoria,VIC1,51
WAGGA132,Wagga 132,New South Wales,NSW1,100
YASS,Yass,New South Wales,NSW1,100
T209_BLF,Bluff,Queensland,QLD1,50
TAREE,Taree,New South Wales,NSW1,100
STROUD,Stroud,New South Wales,NSW1,100
MURRAY,Murray,New South Wales,NSW1,100
SSCMA,Cooma,New South Wales,NSW1,60
H3_BELMT,Belmont-H3,Queensland,QLD1,62
H22_LOGN,Hillston,New South Wales,NSW1,53
H23_UKED,Que,Tasmania,TAS1,60
TIPS_B,Duchess Road-Mt Isa,Queensland,QLD1,60
H11_NEBO,Nebo,Queensland,QLD1,90
T141_PVA,X41,Queensland,QLD1,60
DAVENP,Davenport,South Australia,SA1,90
GRWF,Griffith,New South Wales,NSW1,68
275KV_8814,Woolooga 275,Queensland,QLD1,30
R2_BRAE,Braemar,Queensland,QLD1,62
LISMORE,Lismore,New South Wales,NSW1,100
SYD_WEST,Sydney West,New South Wales,NSW1,82
H35_STHM,Horsham,Victoria,VIC1,57
T177_KCK,Keswick,South Australia,SA1,43
T193_CLS,Mt Colah,New South Wales,NSW1,43
T220_COL,Mt Colah,New South Wales,NSW1,57
TTS,Scottsdale,Tasmania,TAS1,90
GNTS,Clements Gap Wind Farm,South Australia,SA1,68
T71_CLMT,Metz,New South Wales,NSW1,60
GADARA,Gadara,New South Wales,NSW1,100
TUMUT132,Tumut 132,New South Wales,NSW1,100
ULVERSTN,Ulverstone,Tasmania,TAS1,89
BETS,Forbes,New South Wales,NSW1,77
KGTS,Knights Road,Tasmania,TAS1,68
BURONGA,Buronga,New South Wales,NSW1,100
MOPS,Hampshire,Tasmania,TAS1,68
RWTS,Mackay Ports,Queensland,QLD1,77
YADNAR,Yadnarie,South Australia,SA1,86
T34_MRNB,Nebo,Queensland,QLD1,60
R3_BULLI,Rudall,South Australia,SA1,62
H40_WURD,Howard,Queensland,QLD1,62
MARULAN,Marulan,New South Wales,NSW1,100
T13_CHIN,Bairnsdale Switching,Victoria,VIC1,64
WWANG,Wallerawang,New South Wales,NSW1,72
GTS,Clements Gap Wind Farm,South Australia,SA1,60
T35_DYST,Dysart,Queensland,QLD1,62
T110_PKD,Blackstone 110,Queensland,QLD1,51
BRKNHILL,Nhill,Victoria,VIC1,90
SSMST,SSMST,Queensland,QLD1,100
SSMLT,SSMLS,Queensland,QLD1,80
H58_LARC,Ayr,Queensland,QLD1,60
T199_YAR,Ayr,Queensland,QLD1,60
PARA,Para,South Australia,SA1,100
H18_TRNG,Terang,Victoria,VIC1,62
H36_BLKW,Kew,Victoria,VIC1,72
WMTS,Duchess Road-Mt Isa,Queensland,QLD1,68
ATS,Watsonia,Victoria,VIC1,90
KTS,Hummocks,South Australia,SA1,72
T5_GLAD,Zetland,New South Wales,NSW1,62
GLAD_PS,Gladstone,Queensland,QLD1,75
H67_CALR,Ayr,Queensland,QLD1,60
T38_MKAY,Ayr,Queensland,QLD1,72
WAGGA330,Wagga 330,New South Wales,NSW1,100
DARL_PT,Dapto,New South Wales,NSW1,73
CBTS,Abbotsbury,New South Wales,NSW1,68
APD,Lennox Head,New South Wales,NSW1,72
T8_GYMP,Gympie,Queensland,QLD1,67
H5_WLGA,Wilga Park,New South Wales,NSW1,60
T108_BNL,Bungal,Victoria,VIC1,46
TBTS,Scottsdale,Tasmania,TAS1,68
ERTS,Robertstown,South Australia,SA1,90
BLTS,Blyth West,South Australia,SA1,68
BRINKW,Brinkworth,South Australia,SA1,90
T30_ASHW,Waratah West,New South Wales,NSW1,51
MULLUMB,Mullumbimby,New South Wales,NSW1,90
BNGALORA,Bungalora,New South Wales,NSW1,94
YANCO,Yanco,New South Wales,NSW1,100
URANQNTY,Uranquinty,New South Wales,NSW1,89
MURRUMBR,Murrumburrah,New South Wales,NSW1,80
WELLNGTN,Wellington,New South Wales,NSW1,89
WADAMANA,Waddamana 220,Tasmania,TAS1,80
PALMSTN,Palmerston,Tasmania,TAS1,82
MOLONG,Molong,New South Wales,NSW1,100
PT_MCQAR,Ayr,Queensland,QLD1,72
EMU_BAY,Emu Bay,Tasmania,TAS1,100
ORANGE_N,Orange,New South Wales,NSW1,92
DDTS,St Leonards,Tasmania,TAS1,51
TIPS_A,Duchess Road-Mt Isa,Queensland,QLD1,80
PGWEST,Orange West,New South Wales,NSW1,75
RSWTHY,Roseworthy,South Australia,SA1,75
BANNABY,Bannaby,New South Wales,NSW1,100
T189_OKY,Oaky,New South Wales,NSW1,77
FARRELL,Farrell,Tasmania,TAS1,100
REECE,Reece,Tasmania,TAS1,100
CH_GDN,Hughenden,Queensland,QLD1,57
H56_YBLS,Yabulu South,Queensland,QLD1,51
T145_TVL,Morphett Vale East,South Australia,SA1,51
T112_MTM,Metz,New South Wales,NSW1,51
KOOLKHAN,Koolkhan,New South Wales,NSW1,100
SYD_NTH,Sydenham Zone,Victoria,VIC1,75
B_WATER,Bayswater,New South Wales,NSW1,80
BURRINJK,Burrinjuck,New South Wales,NSW1,89
RTS,Port Stanvac,South Australia,SA1,90
H12_MT_E,Hume,New South Wales,NSW1,60
H38_GDNA,Goodna,Queensland,QLD1,62
S3_GNBNK,Greenbank,Queensland,QLD1,62
T39_PROS,Ross,Queensland,QLD1,77
MLTS,Milton,Queensland,QLD1,68
PENO_W,Glenrowan,Victoria,VIC1,72
H7_GLAD,Gladstone,Queensland,QLD1,60
275KV_818,Blackstone 275,Queensland,QLD1,34
H15_LILY,Lilyvale,Queensland,QLD1,53
T134_CDW,Tumut 132,New South Wales,NSW1,40
H4_MUGBA,Emu Bay,Tasmania,TAS1,62
EPS,Parkes,New South Wales,NSW1,72
MUSBK330,Muswellbrook 330,New South Wales,NSW1,70
SINGLETN,Singleton,New South Wales,NSW1,94
REGENTVL,Regentville,New South Wales,NSW1,84
G_TOWN,Googong Town,New South Wales,NSW1,90
H8_BOYNE,Boyer,Tasmania,TAS1,67
132KV_7145,Tumut 132,New South Wales,NSW1,35
H20_BSND,South Bundaberg,Queensland,QLD1,51
H72_BKST,Blackstone 110,Queensland,QLD1,51
T56_TV_S,Port Stanvac,South Australia,SA1,45
T20_BUND,East Bundaberg,Queensland,QLD1,64
H6_GNGN,Gin Gin,Queensland,QLD1,67
MORP_E,Moree,New South Wales,NSW1,80
SHTS,Knights Road,Tasmania,TAS1,68
TUGGERAH,Tuggerah,New South Wales,NSW1,100
MWTS,Olympic Dam West,South Australia,SA1,68
R_TOWN,Somerton,Victoria,VIC1,80
T46_GARB,Ayr,Queensland,QLD1,60
T150_ASH,Monash,South Australia,SA1,46
T32_BWTR,West Wetherill,New South Wales,NSW1,51
T11_CBLT,Caboolture SSQR50,Queensland,QLD1,51
JLTS,Jelbart,Victoria,VIC1,55
WIV_PS,Ewingsdale,New South Wales,NSW1,54
T100_RCK,White Rock Wind Farm,New South Wales,NSW1,51
H10_BCMB,Bombala,New South Wales,NSW1,43
T136_ABM,Tyabb,Victoria,VIC1,50
T162_BND,North West Bend,South Australia,SA1,51
S_EAST,Lismore East,New South Wales,NSW1,72
T155_WDR,Stewart,New South Wales,NSW1,43
T78_LOCK,Mount Lock,South Australia,SA1,62
H62_ABMN,Harman,New South Wales,NSW1,62
T142_TEN,Tottenham,Victoria,VIC1,50
N_W_B,Snowtown Windfarm South,South Australia,SA1,60
H16_RLEA,Yea,Victoria,VIC1,60
BUNGAM,Bungama,South Australia,SA1,92
TUMUT1_2,Tumut 132,New South Wales,NSW1,93
TOMAGO,Tomago,New South Wales,NSW1,100
HWTS,Blyth West,South Australia,SA1,68
ROTS_500,Ross,Queensland,QLD1,68
HYTS,Knights Road,Tasmania,TAS1,68
132KV_7146,Gunnedah 132-66,New South Wales,NSW1,36
OURIMBAH,Ourimbah,New South Wales,NSW1,100
VALES_PT,Vales Point,New South Wales,NSW1,82
FORBES,Forbes,New South Wales,NSW1,100
PARKES,Parkes,New South Wales,NSW1,100
WRH_WEST,Waratah West,New South Wales,NSW1,78
MUNMORAH,Munmorah,New South Wales,NSW1,100
TRIBUTE,Tribute,Tasmania,TAS1,100
LINFARNE,Lindisfarne,Tasmania,TAS1,84
H2_SPINE,North Springwood,Queensland,QLD1,64
T31_BRAL,Baralaba,Queensland,QLD1,53
DORRIE,Dorrien,South Australia,SA1,92
T98_DNGO,Dingo,Queensland,QLD1,67
H14_MRDG,South Morang,Victoria,VIC1,51
W_LOO,Waterloo East,South Australia,SA1,68
TEMPLE,Templestowe,Victoria,VIC1,90
T10_YARR,Ayr,Queensland,QLD1,60
H_VALL,Challicum Hills,Victoria,VIC1,72
HADSPEN,Hadspen,Tasmania,TAS1,100
YPS,St Marys,Tasmania,TAS1,72
T65_ALCK,Port Hacking,New South Wales,NSW1,51
DEVILS_G,Degilbo,Queensland,QLD1,57
FISHER,Fisher,Tasmania,TAS1,100
T124_TRV,Mt Terry,New South Wales,NSW1,43
SHEFIELD,Sheffield,Tasmania,TAS1,94
BLANCH,Blanche,South Australia,SA1,92
NORTHF,Northfield,South Australia,SA1,90
H24_CALV,Calvale,Queensland,QLD1,57
SST29,Morisset,New South Wales,NSW1,60
SSRVW,SSQRT,Queensland,QLD1,60
275KV_8868,Woolooga 275,Queensland,QLD1,30
275KV_8869,Woolooga 275,Queensland,QLD1,30
T146_OAK,Oaky,New South Wales,NSW1,77
T147_TAN,Port Stanvac,South Australia,SA1,51
H51_SBKE,Kew,Victoria,VIC1,72
PT_L_T,Port Latta,Tasmania,TAS1,68
H13_ROSS,Ross,Queensland,QLD1,90
T53_KAM,Tangkam,Queensland,QLD1,62
RCTS,Port Stanvac,South Australia,SA1,68
HOTS,Port Stanvac,South Australia,SA1,68
MITCHELL,Mitchell,New South Wales,NSW1,100
BAYSWATR,Bayswater,New South Wales,NSW1,94
ARMIDALE,Armidale,New South Wales,NSW1,100
