Date,MinTemp,MaxTemp,Rainfall
2018-01-01,20.6,29.0,1.4
2018-01-02,20.4,29.2,0.0
2018-01-03,19.8,25.1,2.4
2018-01-04,17.9,25.7,0.8
2018-01-05,16.9,27.3,0.8
2018-01-06,19.8,30.2,0.0
2018-01-07,21.9,42.5,0.0
2018-01-08,21.7,32.4,2.6
2018-01-09,21.9,30.4,21.4
2018-01-10,18.6,24.8,7.4
2018-01-11,19.1,24.9,0.0
2018-01-12,21.2,29.0,2.0
2018-01-13,22.9,33.8,0.0
2018-01-14,14.5,24.0,2.0
2018-01-15,16.3,25.8,0.4
2018-01-16,18.1,23.5,0.0
2018-01-17,17.2,25.6,0.0
2018-01-18,15.2,27.0,0.0
2018-01-19,16.4,28.5,0.0
2018-01-20,16.9,29.8,0.0
2018-01-21,19.3,28.8,0.0
2018-01-22,20.8,30.4,0.0
2018-01-23,22.4,27.8,0.0
2018-01-24,21.6,29.4,1.0
2018-01-25,21.8,27.5,0.0
2018-01-26,23.2,28.7,0.0
2018-01-27,23.7,29.7,0.0
2018-01-28,23.7,29.4,0.0
2018-01-29,22.5,31.0,0.0
2018-01-30,21.0,30.6,0.0
2018-01-31,17.7,21.9,2.6
2018-02-01,16.5,24.7,0.4
2018-02-02,15.7,23.7,2.4
2018-02-03,16.5,25.2,20.1
2018-02-04,16.5,26.3,0.1
2018-02-05,16.7,27.4,0.0
2018-02-06,18.4,28.1,0.0
2018-02-07,19.5,28.4,0.0
2018-02-08,18.6,29.7,0.0
2018-02-09,21.2,31.1,0.0
2018-02-10,21.5,30.1,4.0
2018-02-11,21.3,29.1,2.8
2018-02-12,21.2,28.9,0.0
2018-02-13,22.9,30.5,0.0
2018-02-14,22.8,33.9,0.0
2018-02-15,21.1,28.8,0.0
2018-02-16,19.5,30.1,0.0
2018-02-17,21.7,29.0,0.0
2018-02-18,21.8,30.2,0.0
2018-02-19,23.2,29.5,0.0
2018-02-20,20.1,23.4,4.0
2018-02-21,17.8,27.8,0.2
2018-02-22,18.8,28.7,0.0
2018-02-23,19.6,28.6,0.0
2018-02-24,20.8,34.0,0.0
2018-02-25,21.8,21.8,0.4
2018-02-26,17.1,23.6,64.6
2018-02-27,16.4,25.2,3.4
2018-02-28,16.7,27.6,0.0
2018-03-01,19.6,26.4,0.0
2018-03-02,19.0,26.3,0.0
2018-03-03,19.2,28.7,0.0
2018-03-04,21.3,25.1,0.0
2018-03-05,21.0,25.4,0.0
2018-03-06,18.1,25.2,5.8
2018-03-07,19.4,25.2,2.0
2018-03-08,17.4,26.5,0.2
2018-03-09,19.3,27.5,0.3
2018-03-10,19.8,29.2,0.0
2018-03-11,17.2,29.0,0.0
2018-03-12,17.7,29.1,0.0
2018-03-13,18.6,20.5,59.0
2018-03-14,18.5,27.3,14.4
2018-03-15,19.5,29.7,0.0
2018-03-16,21.5,27.0,0.0
2018-03-17,20.3,32.6,0.0
2018-03-18,20.1,38.0,0.0
2018-03-19,21.4,29.1,0.0
2018-03-20,19.5,27.5,0.0
2018-03-21,18.7,21.9,11.0
2018-03-22,17.9,23.6,6.0
2018-03-23,17.6,26.3,6.7
2018-03-24,16.8,27.6,0.0
2018-03-25,18.9,31.9,1.2
2018-03-26,18.0,26.2,15.0
2018-03-27,13.6,26.5,0.0
2018-03-28,15.1,27.3,0.0
2018-03-29,18.8,28.6,0.0
2018-03-30,19.5,29.0,0.0
2018-03-31,20.1,25.5,0.0
2018-04-01,19.3,27.8,0.0
2018-04-02,20.0,31.3,0.0
2018-04-03,20.7,26.2,0.0
2018-04-04,20.4,26.6,0.0
2018-04-05,18.4,28.6,0.0
2018-04-06,19.3,28.3,0.0
2018-04-07,20.2,27.8,0.0
2018-04-08,20.6,27.5,0.0
2018-04-09,18.2,35.6,0.0
2018-04-10,18.7,26.2,0.0
2018-04-11,19.4,28.2,0.4
2018-04-12,18.7,34.2,0.0
2018-04-13,23.0,33.1,0.0
2018-04-14,23.1,30.7,0.0
2018-04-15,18.4,24.3,0.0
2018-04-16,17.5,29.8,0.0
2018-04-17,18.1,22.5,0.0
2018-04-18,17.1,24.4,0.1
2018-04-19,15.0,25.4,0.0
2018-04-20,16.1,25.4,0.0
2018-04-21,16.4,24.5,0.0
2018-04-22,14.9,26.6,0.0
2018-04-23,15.1,26.6,0.0
2018-04-24,15.7,25.5,0.0
2018-04-25,14.9,24.8,0.4
2018-04-26,16.7,23.9,0.8
2018-04-27,16.8,21.0,0.2
2018-04-28,14.7,19.9,8.2
2018-04-29,13.6,22.3,3.6
2018-04-30,11.7,20.5,12.6
2018-05-01,12.0,25.4,0.0
2018-05-02,13.6,23.6,0.0
2018-05-03,13.7,26.1,0.0
2018-05-04,17.5,27.0,0.0
2018-05-05,11.9,23.5,0.0
2018-05-06,10.2,23.7,0.0
2018-05-07,12.1,25.9,0.0
2018-05-08,13.1,26.7,0.0
2018-05-09,13.0,25.8,0.0
2018-05-10,15.0,26.0,0.0
2018-05-11,9.9,16.6,0.0
2018-05-12,11.0,17.0,4.6
2018-05-13,13.5,18.0,1.4
2018-05-14,13.3,19.0,15.2
2018-05-15,10.4,21.9,0.0
2018-05-16,11.3,19.2,0.2
2018-05-17,9.3,20.8,0.0
2018-05-18,9.1,20.9,0.0
2018-05-19,10.2,21.5,0.0
2018-05-20,8.8,21.9,0.0
2018-05-21,11.6,23.299999999999997,0.0
2018-05-22,11.0,24.7,0.0
2018-05-23,12.9,23.0,0.0
2018-05-24,10.9,21.7,0.0
2018-05-25,14.6,19.4,0.0
2018-05-26,9.8,21.1,0.0
2018-05-27,10.2,21.3,0.0
2018-05-28,11.7,21.4,0.0
2018-05-29,11.1,25.8,0.0
2018-05-30,13.6,18.9,3.8
2018-05-31,9.2,18.3,1.2
2018-06-01,11.5,16.1,0.1
2018-06-02,10.7,15.8,1.4
2018-06-03,13.0,18.4,1.0
2018-06-04,10.3,18.6,4.2
2018-06-05,10.6,15.0,7.1
2018-06-06,11.1,16.8,31.6
2018-06-07,10.0,20.4,16.8
2018-06-08,11.1,17.0,0.2
2018-06-09,12.5,16.0,8.2
2018-06-10,10.1,16.8,4.6
2018-06-11,10.1,18.4,12.4
2018-06-12,8.3,19.2,0.0
2018-06-13,10.6,19.3,0.0
2018-06-14,10.4,20.0,0.0
2018-06-15,11.6,20.5,0.0
2018-06-16,9.2,17.9,0.0
2018-06-17,8.7,15.8,0.0
2018-06-18,9.7,16.3,0.6
2018-06-19,8.8,14.4,17.2
2018-06-20,10.8,18.1,52.4
2018-06-21,9.9,16.2,5.6
2018-06-22,7.9,19.4,0.4
2018-06-23,7.2,19.4,0.0
2018-06-24,7.1,17.3,0.0
2018-06-25,6.3,18.3,0.0
2018-06-26,6.7,18.5,0.0
2018-06-27,9.2,17.6,1.8
2018-06-28,10.5,20.7,29.6
2018-06-29,6.3,15.2,11.6
2018-06-30,7.3,19.0,0.0
2018-07-01,7.4,18.5,0.0
2018-07-02,9.2,17.4,0.0
2018-07-03,8.6,19.5,11.0
2018-07-04,8.8,19.7,0.2
2018-07-05,10.5,24.6,0.0
2018-07-06,11.7,24.5,0.0
2018-07-07,9.3,17.0,0.0
2018-07-08,8.8,18.4,0.0
2018-07-09,10.0,17.1,0.0
2018-07-10,7.2,18.6,0.0
2018-07-11,6.6,16.8,0.0
2018-07-12,7.5,19.3,0.0
2018-07-13,7.0,18.3,0.0
2018-07-14,6.0,17.7,0.0
2018-07-15,4.8,17.5,0.0
2018-07-16,4.0,17.4,0.0
2018-07-17,8.7,22.2,0.0
2018-07-18,11.2,21.5,0.0
